,produktionsslag,Brutto 1986,Brutto 1987,Brutto 1988,Brutto 1989,Brutto 1990,Brutto 1991,Brutto 1992,Brutto 1993,Brutto 1994,Brutto 1995,Brutto 1996,Brutto 1997,Brutto 1998,Brutto 1999,Brutto 2000,Brutto 2001,Brutto 2002,Brutto 2003,Brutto 2004,Brutto 2005,Brutto 2006,Brutto 2007,Brutto 2008,Brutto 2009,Brutto 2010,Brutto 2011,Brutto 2012,Brutto 2013,Brutto 2014,Brutto 2015,Brutto 2016,Brutto 2017,Brutto 2018,Brutto 2019,Brutto 2020,Brutto 2021,Netto 1986,Netto 1987,Netto 1988,Netto 1989,Netto 1990,Netto 1991,Netto 1992,Netto 1993,Netto 1994,Netto 1995,Netto 1996,Netto 1997,Netto 1998,Netto 1999,Netto 2000,Netto 2001,Netto 2002,Netto 2003,Netto 2004,Netto 2005,Netto 2006,Netto 2007,Netto 2008,Netto 2009,Netto 2010,Netto 2011,Netto 2012,Netto 2013,Netto 2014,Netto 2015,Netto 2016,Netto 2017,Netto 2018,Netto 2019,Netto 2020,Netto 2021,Egenanv�ndning 1986,Egenanv�ndning 1987,Egenanv�ndning 1988,Egenanv�ndning 1989,Egenanv�ndning 1990,Egenanv�ndning 1991,Egenanv�ndning 1992,Egenanv�ndning 1993,Egenanv�ndning 1994,Egenanv�ndning 1995,Egenanv�ndning 1996,Egenanv�ndning 1997,Egenanv�ndning 1998,Egenanv�ndning 1999,Egenanv�ndning 2000,Egenanv�ndning 2001,Egenanv�ndning 2002,Egenanv�ndning 2003,Egenanv�ndning 2004,Egenanv�ndning 2005,Egenanv�ndning 2006,Egenanv�ndning 2007,Egenanv�ndning 2008,Egenanv�ndning 2009,Egenanv�ndning 2010,Egenanv�ndning 2011,Egenanv�ndning 2012,Egenanv�ndning 2013,Egenanv�ndning 2014,Egenanv�ndning 2015,Egenanv�ndning 2016,Egenanv�ndning 2017,Egenanv�ndning 2018,Egenanv�ndning 2019,Egenanv�ndning 2020,Egenanv�ndning 2021,anv�ndningsomr�de,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vattenverk, SNI2002 jmf. 41 ",,,,,,,,,,,,,,,,,,716,693,643,644.0,612.0,572.0,556.0,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avloppsrening, avfallshantering och renh�llning, SNI2002 jmf. 90",,,,,,,,,,,,,,,,,,682,701,690,715.0,702.0,757.0,726.0,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"byggnads- och anl�ggningsverksamhet, SNI2002 jmf. 45",,,,,,,,,,,,,,,,,,806,805,803,873.0,880.0,942.0,1074.0,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"partihandel utom med motorfordon, SNI2002 jmf. 51",,,,,,,,,,,,,,,,,,1370,1341,1344,1344.0,1375.0,1305.0,1325.0,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"detaljhandel samt handel och service av motorfordon, SNI2002 jmf. 50 och 52",,,,,,,,,,,,,,,,,,4544,4526,4386,4470.0,4519.0,4514.0,4445.0,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hotell- och restaurangverksamhet, SNI2002 jmf. 55",,,,,,,,,,,,,,,,,,1393,1431,1445,1458.0,1481.0,1674.0,1599.0,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"j�rnv�gstransport och kollektivtrafikverksamhet, SNI2002 jmf. 60.1-60.211",,,,,,,,,,,,,,,,,,2838,2989,2818,2885.0,2864.0,2745.0,2442.0,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"annan typ av transport och st�dtj�nster till transporter, SNI2002 jmf. 60.212, 60.22-60.24 och 61-63",,,,,,,,,,,,,,,,,,931,1029,998,1007.0,968.0,1049.0,914.0,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post och telekommunikation, SNI2002 jmf. 64",,,,,,,,,,,,,,,,,,717,739,721,740.0,823.0,867.0,451.0,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bank- och f�rs�kringsverksamhet, SNI2002 jmf. 65-67",,,,,,,,,,,,,,,,,,477,525,586,539.0,522.0,542.0,510.0,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsf�rvaltning, bostadsfastigheter, SNI2002 jmf. 70 ",,,,,,,,,,,,,,,,,,7219,7049,5967,5487.0,5773.0,5536.0,5910.0,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsf�rvaltning, fastigheter exklusive bostadsfastigheter, SNI2002 jmf. 70",,,,,,,,,,,,,,,,,,1496,2034,3619,3919.0,4303.0,4796.0,5081.0,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"uthyrning, ADB och andra f�retagstj�nster, SNI2002 jmf. 71, 72 och 74",,,,,,,,,,,,,,,,,,1497,1366,1404,1423.0,1347.0,1458.0,1298.0,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offentlig f�rvaltning, SNI2002 jmf. 75",,,,,,,,,,,,,,,,,,1756,1799,1532,1475.0,1555.0,1077.0,1004.0,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"utbildning, forskning och utveckling, SNI2002 jmf. 80 och 73",,,,,,,,,,,,,,,,,,2284,2417,2289,2260.0,2111.0,2590.0,2548.0,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"h�lso- och sjukv�rd, sociala tj�nster o.d., SNI2002 jmf. 85",,,,,,,,,,,,,,,,,,3230,3358,3399,3310.0,3266.0,3353.0,2789.0,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intressebevakning och personliga tj�nster, SNI2002 jmf. 91, 93 och 96",,,,,,,,,,,,,,,,,,999,970,1022,1020.0,1000.0,1054.0,855.0,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sport, fritid och kultur, SNI2002 jmf. 92",,,,,,,,,,,,,,,,,,2014,1836,1722,1782.0,1736.0,1516.0,1974.0,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med f�rbrukning �ver 10 000 kWh",,,,,,,,,,,,,,,,,,21156,21046,20282,20712.0,19643.0,20024.0,20363.0,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med f�rbrukning h�gst 10 000 kWh",,,,,,,,,,,,,,,,,,5819,5799,5792,5576.0,5510.0,5144.0,4498.0,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med enbart elv�rme",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med elv�rme i komb. med andra energislag",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus utan elv�rme",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning �ver 5 000 kWh",,,,,,,,,,,,,,,,,,964,1040,1121,1196.0,1131.0,1131.0,1396.0,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning h�gst 5 000 kWh",,,,,,,,,,,,,,,,,,4478,4438,4406,4441.0,4347.0,4347.0,4203.0,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus med elv�rme, direktleveranser",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus utan elv�rme, direktleveranser",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, kollektivleveranser",,,,,,,,,,,,,,,,,,594,510,475,517.0,537.0,516.0,476.0,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fritidsbost�der,,,,,,,,,,,,,,,,,,2731,2357,2348,2365.0,2289.0,2320.0,2998.0,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa slutlig f�rbrukning inom landet exkl. f�rluster,,,,,,,,,,,,,,,,,,134663,135695,135230,135503.0,135332.0,133544.0,128303.0,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f�rluster exkl stamn�tsf�rluster,,,,,,,,,,,,,,,,,,8132,8261,9016,8276.0,8313.0,7558.0,6899.0,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stamn�tsf�rluster,,,,,,,,,,,,,,,,,,2569,2763,3341,2509.0,2577.0,2898.0,2684.0,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa slutlig f�rbrukning inom landet inkl. f�rluster,,,,,,,,,,,,,,,,,,145364,146720,147587,146289.0,146202.0,144000.0,137886.0,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa f�rbrukad el,,,,,,,,,,,,,,,,,,,,,,,158716,146971.0,159844.0,160009.0,174124.0,161872.0,163808.0,168230.0,166786.0,172377.0,171862.0,174700.0,172725.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,export,,,,,,,,,,,,,,,,,,,,,,,14716,9085.0,12853.0,19714.0,31254.0,22676.0,29475.0,31894.0,26022.0,30888.0,29425.0,35231.0,36824.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o.d. j�mte anslutna hush�ll med f�rbr. �ver 20 000 kWh, SNI2007 jmf. 01, 02 och 03",,,,,,,,,,,,,,,,,,,,,,,1644,2072.0,2289.0,1996.0,2184.0,2143.0,2029.0,2170.0,2215.0,2028.0,2083.0,1697.0,1808.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. d. j�mte anslutna hush�ll med f�rbr. h�gst 20 000 kWh, SNI2007 jmf. 01, 02 och 03",,,,,,,,,,,,,,,,,,,,,,,1004,973.0,895.0,997.0,966.0,966.0,969.0,979.0,1012.0,832.0,893.0,863.0,844.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tillverkning och utvinning av mineraler, SNI2007 jmf. 5-33",,,,,,,,,,,,,,,,,,,,,,,56625,50657.0,53359.0,53843.0,52981.0,50935.0,49552.0,48784.0,49506.0,49063.0,49081.0,47437.0,46327.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"elf�rs�rjning (kontor, lager o.d.), SNI2007 jmf. 35.1",,,,,,,,,,,,,,,,,,,,,,,113,131.0,165.0,208.0,197.0,205.0,162.0,214.0,222.0,174.0,198.0,238.0,803.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gasf�rs�rjning (distr. av gasformiga br�nslen via r�rn�t), SNI2007 jmf. 35.2",,,,,,,,,,,,,,,,,,,,,,,76,131.0,93.0,90.0,123.0,110.0,118.0,129.0,168.0,114.0,126.0,109.0,122.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f�rs�rjning av v�rme och kyla, v�rmeverksdrift, SNI2007 jmf. 35.3",,,,,,,,,,,,,,,,,,,,,,,1906,1983.0,2007.0,2063.0,2094.0,2001.0,1940.0,1910.0,2088.0,2172.0,1914.0,1947.0,1952.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f�rs�rjning av v�rme och kyla, elpannor och v�rmepumpar, SNI2007 jmf. 35.3",,,,,,,,,,,,,,,,,,,,,,,1721,1634.0,1603.0,1333.0,1793.0,1459.0,1804.0,1474.0,1443.0,1544.0,1288.0,1238.0,1615.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gatu- och v�gbelysning,,,,,,,,,,,,,,,,,,,,,,,637,746.0,860.0,686.0,686.0,647.0,624.0,638.0,626.0,601.0,568.0,465.0,441.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vattenverk och avloppsrening, SNI2007 jmf. 36.001, 36.002",,,,,,,,,,,,,,,,,,,,,,,0,556.0,613.0,523.0,497.0,503.0,523.0,515.0,525.0,484.0,491.0,474.0,462.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avfallshantering och renh�llning, SNI2007 jmf. 37, 38, 39",,,,,,,,,,,,,,,,,,,,,,,0,726.0,805.0,787.0,744.0,777.0,737.0,779.0,776.0,799.0,789.0,766.0,783.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vattenverk, SNI2007 jmf. 36.001",,,,,,,,,,,,,,,,,,,,,,,572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avloppsrening, avfallshantering; �tervinning, sanering, SNI2007 jmf. 36.002",,,,,,,,,,,,,,,,,,,,,,,757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"byggverksamhet, SNI2007 jmf. 41-43",,,,,,,,,,,,,,,,,,,,,,,942,1074.0,1207.0,1108.0,1096.0,1120.0,1079.0,1212.0,1337.0,1378.0,1483.0,1451.0,1334.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"parti- och provisionshandelhandel utom med motorfordon, SNI2007 jmf. 46",,,,,,,,,,,,,,,,,,,,,,,1305,1325.0,1585.0,1555.0,1623.0,1614.0,1574.0,1670.0,1685.0,1614.0,1708.0,1669.0,1589.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"detaljhandel och Handel samt reparation av motorfordon och motorcyklar, SNI2007 jmf. 45, 47",,,,,,,,,,,,,,,,,,,,,,,4514,4445.0,4213.0,4248.0,4290.0,4210.0,4092.0,4273.0,4355.0,3981.0,3985.0,3782.0,3643.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hotell- och restaurangverksamhet, SNI2007 jmf. 55, 56",,,,,,,,,,,,,,,,,,,,,,,1674,1599.0,1665.0,1636.0,1726.0,1740.0,1729.0,1936.0,2020.0,2002.0,2025.0,1975.0,1806.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"j�rnv�gstransport och kollektivtrafikverksamhet, SNI2007 jmf. 49.1-49.2, 49.31",,,,,,,,,,,,,,,,,,,,,,,2745,2442.0,2405.0,2640.0,2685.0,2750.0,2615.0,2595.0,2664.0,2476.0,2573.0,2483.0,2262.0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"annan typ av transport. Magasinering och st�dtj�nster till transporter, SNI2007 jmf. 49.32-52",,,,,,,,,,,,,,,,,,,,,,,1049,914.0,1016.0,949.0,908.0,984.0,1007.0,896.0,935.0,979.0,986.0,919.0,920.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post- och kurirverksamhet, SNI2007 jmf. 53",,,,,,,,,,,,,,,,,,,,,,,867,451.0,264.0,224.0,244.0,233.0,229.0,229.0,215.0,191.0,204.0,209.0,221.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finans- och f�rs�kringsverksamhet, SNI2007 jmf. 64-66",,,,,,,,,,,,,,,,,,,,,,,542,510.0,432.0,483.0,470.0,448.0,424.0,412.0,420.0,334.0,317.0,281.0,271.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"informations- och kommunikationsverksamhet, SNI2007 jmf. 58-63",,,,,,,,,,,,,,,,,,,,,,,..,494.0,764.0,718.0,727.0,771.0,754.0,930.0,1096.0,1455.0,1663.0,1617.0,1590.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reparation och installation av maskiner och apparater, SNI2007 jmf. 33",,,,,,,,,,,,,,,,,,,,,,,..,47.0,68.0,56.0,57.0,55.0,56.0,73.0,75.0,74.0,76.0,85.0,84.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsverksamhet; fastighetsf�rvaltning, -bostadsfastigheter, SNI2007 jmf. 68.2, 68.32 del av",,,,,,,,,,,,,,,,,,,,,,,5536,5910.0,6254.0,6502.0,6870.0,7316.0,6891.0,7609.0,8011.0,8759.0,7069.0,7169.0,6892.0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsverksamhet; fastighetsf�rvaltning, -�vriga, SNI2007 jmf. 68.2, 68.32 del av",,,,,,,,,,,,,,,,,,,,,,,4796,5081.0,4178.0,4046.0,3796.0,3772.0,3671.0,3555.0,3545.0,2646.0,4858.0,4312.0,4652.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"uthyrning , leasing, databehandling o. a. f�retagstj�nster , SNI2007 jmf. 69-71, 73-74, 77-82, 97-98",,,,,,,,,,,,,,,,,,,,,,,1458,1298.0,1472.0,1498.0,1418.0,1542.0,1671.0,1710.0,1775.0,2067.0,1902.0,2515.0,2473.0
